ParlaMint-FR_2018-08-01-E1044.u1	The next item is the question to the Government.
ParlaMint-FR_2018-08-01-E1044.u92	[[Applause on the benches of the LaREM group. – Protests on the benches of the FI group]] Madam Member, I am delighted to see that climate change has returned to the centre of your concerns.
ParlaMint-FR_2018-08-01-E1044.u93	He's always been.
ParlaMint-FR_2018-08-01-E1044.u94	You didn't listen to us! You're just insolent!
ParlaMint-FR_2018-08-01-E1044.u95	A little respect!
ParlaMint-FR_2018-08-01-E1044.u96	Climate change has not waited for our children to become reality, it is already, today, the day of the exceedance, the day where we go bankrupt. The more we continue in this direction, the more we will be indebted, which means that our economic model does not work. We must succeed in taming finance. It is this government that says so.
ParlaMint-FR_2018-08-01-E1044.u97	That's not true!
ParlaMint-FR_2018-08-01-E1044.u98	[[Applause on the benches of the LaREM group]] [[Applause on the benches of the LaREM and MODEM groups. – Exclaims on FI banks]] We need sustainable finance. That is why we are working collectively with Bruno Le Maire and Delphine Gény-Stephann to make finance more sustainable. The President of the Republic has committed himself and has done so in practice since the One planet summit, a new edition of which will be held on 26 September. This is also the reason why the Prime Minister announced a roadmap for the circular economy, in order to transform our economy in depth. We are not content with disaster relief: we emphasize what is in the right direction and act to transform our economy. Some 80 per cent of the measures in the circular economy roadmap have already been implemented: fifty-five companies and federations have jointly committed themselves to doubling the amount of recycled plastic they incorporate into the products they place on the market. We have also taken up the issue of biodiversity.
ParlaMint-FR_2018-08-01-E1044.u99	It's about time! You're at least fifty cars late!
ParlaMint-FR_2018-08-01-E1044.u100	France took the responsibility to host the IUCN Congress – International Union for the Conservation of Nature – in Marseilles, to remain, as we have already been with the Paris Agreement, a nation that pulls others up, when it comes to protecting biodiversity. If you have the courage of our opinions, act with us.
ParlaMint-FR_2018-08-01-E1044.u101	Always the excess!
ParlaMint-FR_2018-08-01-E1044.u102	And the arrogance!
ParlaMint-FR_2018-08-01-E1044.u103	[[Vif applause on the benches of the LaREM and MODEM groups. – Exclaims on FI banks]] I invite you to the ministry, where you have already been received several times by my office.
ParlaMint-FR_2018-08-01-E1044.u104	Mrs Pascale Fontenel-Person has the floor for the La République on the move.
ParlaMint-FR_2018-08-01-E1044.u105	Minister of National Education, on July 18, you announced the creation of more than 10,000 positions of AESH – accompanying students with disabilities – in addition to the new year. I welcome this announcement. Creating more robust jobs, faced with an ever-increasing number of students with disabilities, is very good news, after last year's abolition of assisted contracts. However, local elected representatives from a small commune in my constituency recently questioned me on the decision of the academic inspection not to renew their school's AESH contract, the reason being "a lack of knowledge of disability and of fit with the mission".
ParlaMint-FR_2018-08-01-E1044.u106	Yes!
ParlaMint-FR_2018-08-01-E1044.u107	How can we explain that this person, who was three years during AVS – an assistant in school life – and then one year AESH, has, overnight, lost the necessary skills? Many families experience similar situations of sudden breach of contract. The ground is not admissible. Let's go to the end of our process: let's free up, let's protect.
ParlaMint-FR_2018-08-01-E1044.u108	You had to listen to Mr. Lurton!
ParlaMint-FR_2018-08-01-E1044.u109	If the increase in the number of AESHs is good news, the improvement of working conditions and access to the profession must follow. These staff are often forced to chain for many years CDDs, paid at the SMIC, to hope one day to obtain a CDI. They have no guarantee that their contract will be renewed the following year. But nothing is built on such uncertainties.
ParlaMint-FR_2018-08-01-E1044.u110	That's right!
ParlaMint-FR_2018-08-01-E1044.u111	In order to ensure continuous and lasting support for the student, it is time to rethink and implement the means of training and valorisation of this profession. The President of the Republic is committed to providing access to an AVS for all children with disabilities. He also promised to sustain and stabilize these jobs.
