ParlaMint-ES_2015-06-17-CD150617.u1	The meeting was resumed.
ParlaMint-ES_2015-06-17-CD150617.u67	Yes, I probably have the same impression as the minister's answer, Mr Montoro. You know that within ten years, more than 3,000 agents are going to cause casualties; an average of about 300 per year, approximately. You also know that there is a gap because the incorporation is not immediate: you have to make a selection, a preparation, etc. Of course, the objective of the OPE calls for Ertzaintza is not to increase cash and increase spending, but to maintain what is available. You pull me out of the replacement rate, and you say it concerns us all. I'll discuss it with you. For starters, assuming it concerns us, do you think it is fair to apply the same standard to the autonomous communities that meet the deficit target as to the rest? Because on the issue of deficit compliance there is no one more exemplary than the Basque Autonomous Community and, moreover, it must be borne in mind that this OPE will not entail any costs to the central government. But they are also violating - and this is worrying for us - the essence of forality, because the basis of Ertzaintza is in the first additional provision and, therefore, who has to set the priorities is the Security Board, and who has to set the limits is the Security Board on which both Governments are represented, and it has said that the 8,000 troops will be maintained. In addition, he said that the People's Party of the Basque Country had promoted a GNP in the Basque Parliament precisely for this purpose, so that the troops could be maintained. But it does not have to be subject to that replacement rate, especially when it will not affect the public deficit nor will it affect, at all, the expenditure and budgets of the State. We are talking about respecting the forality, that the root concept that affects Ertzaintza legally is different from what you want to put us, to the replacement rate. I would ask you not to go ahead because, otherwise, putting an appeal - which I hope will not happen - would, in our view, mean non-compliance with forality and a serious confrontation with the Basque Government. Thank you, Mr. President.
ParlaMint-ES_2015-06-17-CD150617.u68	Thank you very much, Mr. Esteban. Minister.
ParlaMint-ES_2015-06-17-CD150617.u69	Thank you, Mr. President. There is no spirit of conflict on the part of the Government of Spain to provoke any confrontation, but we do have the spirit of compliance. I have to disagree with the approaches that your honor has made here this morning, with the interpretations that you make. The basic regulation concerns all civil servants of all the administrations that make up the State of Spain's autonomy, all of them. There is no reduction that falls outside the scope of this regulation. That is why last year we resolved the issue by changing state regulations, I remind you, Mr Esteban, and you agreed with that procedure and that approach of change. So don't tell me now that it's not worth state law. If you are looking for a conflict it will be for another kind of reason. It will be because we are at the end of a legislature; it will be because you have the thought placed in one political party or another; it will be because of the formation and formation of pacts that you are acquiring in the Basque Country with your political group, or it will be for another reason. But the only reason that inspires the Spanish Government is to replenish the autonomous police force, as we have been doing, at 100% last year, and that Basque society has the security elements that form part of the offer of the State Security Forces as a whole.
ParlaMint-ES_2015-06-17-CD150617.u70	Thank you, Minister. - OF THE DEPUTY DON MANUEL PEZZI CERETO, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE LORD MINISTER OF AFFAIRS AND PUBLIC ADMINISTRATIONS: DID THE GOVERNMENT VALUE THE CONSEQUENCES IN THE INDUSTRY OF THE CARRIERS' INDUSTRY IN SPAIN WHEN THE CLOSURE OF COMPETITION IN THE HYPODROME OF ZARZULA, THE PROPERTY OF SEPI? [[File number 180/001352]]
ParlaMint-ES_2015-06-17-CD150617.u71	Question to the Minister for Finance and Public Administration, by Mr Manuel Pezzi, Member of the Socialist Group.
ParlaMint-ES_2015-06-17-CD150617.u72	How much longer, Minister, will the racing horse industry in Spain have to suffer from the incompetence of its employees at SEPI and at La Zarzuela Hippodrome?
ParlaMint-ES_2015-06-17-CD150617.u73	Thank you very much, Mr Pezzi. Minister.
ParlaMint-ES_2015-06-17-CD150617.u74	Thank you, Mr. President. Mr President, there is no such incompetence; as you know, there has been another reason. I find it unfair to describe the performance of SEPI and the very performance of the Zarzuela Racecourse, when the situation has been reproduced in the Grand Hippodrome of Andalusia, in Dos Hermanas, Seville, just as the races at the Hippodrome of San Sebastián, in Lasarte, have also been suspended. The Government's intention is to find a ready solution to this conflict, and I thank you for this question this morning and I encourage you to seek this solution together - together with your group and the other groups in the House - as soon as possible. I would also like to say frankly that it seems unacceptable to me that, because of a private society, horse racing in Spain is paralysed; it seems really unqualified to me. For this reason, the Royal Spanish Hypical Federation is working fast so that there is an official regulator and we can open this type of activity as soon as possible, which, as your honor points out, is so important for the horse industry in Spain. I even call for a call in the Commission next week for those responsible to appear and for the greatest possible consensus to resolve this situation as soon as possible. Thank you very much, Mr President.
ParlaMint-ES_2015-06-17-CD150617.u75	Thank you very much, Minister. Mr. Pezzi.
ParlaMint-ES_2015-06-17-CD150617.u76	Minister, since December 2014, the competition for horse racing in Spain, which gives jobs to more than 3,000 families, has been halted by a decision of SEPI's company, Hipódromo de la Zarzuela, which controls the 5.5 million euros that State Bets aims to finance this competition through the exploitation of the national foreign horse bet, which has put this industry in a critical situation. The case alleged by Hipódromo de la Zarzuela is that there is no legal regulator, because the Society for the Promotion of Cría Caballar, which since 1841 regulates the competition, is in competition with creditors for debts with Social Security and Finance, despite the fact that with the same situation there has been competition in 2013 and 2014. In fact, the competition manager keeps the activity regulating the competition, granting licenses, giving coverage to races not financed by State Bets in Catalonia and Cantabria. The problem lies in the Zarzuela Racecourse and its president, who has faced the Caballar Breeding Society by selling the image rights to State Bets for three years when he had only the assignment for one, causing a clash with the competition manager, who includes these rights in his assets and who has filed a criminal complaint, admitted to prosecution, for fraud, documentary falsity and coercion against Faina Zurita, president of the racecourse. The answer has been to attempt by all means the liquidation of the Caballar Creativity Development Society, even rejecting the social security charge of almost 2 million euros through a viability plan proposed by the competition administration. The death of the Caballar Breeding Society seems to be the answer to cover up irregularities. The dog's dead, anger's over. Spain has had almost 1,000 horse racing; after the management of Faina Zurita, 300. Ladies and gentlemen, 1,000 jobs. The industry is sinking because there is no competition and the owners have to take the horses to the meadows of France. I make an easy, quick proposal: stop Faina Zurita and name someone with a head who can take the horse races back to the Racecourse of Zarzuela and, therefore... [[Applauds]]
